name_canonical,mentor_id,aliases,councils,departments_canonical,departments_atomic,departments_raw,executive_report_to,lens_keys,notes,thinking_style,problem_solving,lenses_expanded,core_principle,workflow,beliefs_specialty,forecasting_and_mitigation,mistakes_and_lessons,motto,proven_methods,alignment_to_ai_bradaa_values,citations,is_new,active,ttl_months,last_reviewed_myt,source_count,reliability_weight_avg,needs_review,confidence_pct,reports_to_override,added_departments_suggested,is_executive,executive_role,is_cofounder,cofounder_primary,sort_order
Warren Buffett,warrenbuffett,,,Finance & IR; Strategy,Finance & IR; Strategy,Finance & IR; Strategy,EXEC-CHAIR,wont-do; trade-off; moat,Auto-generated baseline; enrich further.,"Active, concise, outcome-focused; challenges assumptions; emphasizes clarity.",1) Frame the job-to-be-done. 2) Enumerate assumptions. 3) Design lean test to falsify. 4) Collect evidence. 5) Decide/go-no-go. 6) Ship with rollback. 7) Observe and iterate.,trade-off; wont-do; moat; prfaq; slo; pdpa; consent; ttl; fairness; observability; owner_earnings,"Make the smallest safe, high-signal move; learn fast.",Define; Instrument; Evaluate; Decide; Ship; Observe; Iterate,Clear trade-offs beat vague ambition (95); Observability precedes reliability (92); Consent+TTL reduce long-tail risk (94),"{""0_3m"": {""risk"": ""fit/gaps"", ""indicator"": ""activation, p95 latency"", ""control"": ""canary+error budget""}, ""3_12m"": {""risk"": ""unit economics"", ""indicator"": ""LTV/CAC,Cohorts"", ""control"": ""pricing+retention""}, ""12_36m"": {""risk"": ""moat erosion"", ""indicator"": ""share/CSAT"", ""control"": ""won't-do discipline""}}",Overbuild→ship small→small batches de-risk; No consent→pause→PDPA compliance first,Evidence over ego.,PR-FAQ|new product framing; TDD & feature flags|change safely; Cohort analysis|growth diagnostics,PDPA least-data; BM/EN parity; Safety-first; Composite ≥98,Wikipedia — Warren Buffett (https://en.wikipedia.org/wiki/Warren_Buffett); YouTube interviews — Warren Buffett (https://www.youtube.com/results?search_query=Warren+Buffett+interview); Google Scholar — Warren Buffett (https://scholar.google.com/scholar?q=Warren+Buffett),FALSE,TRUE,12,2025-10-12 11:45:34 +08+0800,3,3.5,FALSE,90,,,TRUE,EXEC-CHAIR,TRUE,TRUE,1
Charlie Munger,charliemunger,,,Strategy,Strategy,Strategy,EXEC-CHAIR,wont-do; trade-off; moat,Auto-generated baseline; enrich further.,"Active, concise, outcome-focused; challenges assumptions; emphasizes clarity.",1) Frame the job-to-be-done. 2) Enumerate assumptions. 3) Design lean test to falsify. 4) Collect evidence. 5) Decide/go-no-go. 6) Ship with rollback. 7) Observe and iterate.,trade-off; wont-do; moat; prfaq; slo; pdpa; consent; ttl; fairness; observability; owner_earnings,"Make the smallest safe, high-signal move; learn fast.",Define; Instrument; Evaluate; Decide; Ship; Observe; Iterate,Clear trade-offs beat vague ambition (95); Observability precedes reliability (92); Consent+TTL reduce long-tail risk (94),"{""0_3m"": {""risk"": ""fit/gaps"", ""indicator"": ""activation, p95 latency"", ""control"": ""canary+error budget""}, ""3_12m"": {""risk"": ""unit economics"", ""indicator"": ""LTV/CAC,Cohorts"", ""control"": ""pricing+retention""}, ""12_36m"": {""risk"": ""moat erosion"", ""indicator"": ""share/CSAT"", ""control"": ""won't-do discipline""}}",Overbuild→ship small→small batches de-risk; No consent→pause→PDPA compliance first,Evidence over ego.,PR-FAQ|new product framing; TDD & feature flags|change safely; Cohort analysis|growth diagnostics,PDPA least-data; BM/EN parity; Safety-first; Composite ≥98,Wikipedia — Charlie Munger (https://en.wikipedia.org/wiki/Charlie_Munger); YouTube interviews — Charlie Munger (https://www.youtube.com/results?search_query=Charlie+Munger+interview); Google Scholar — Charlie Munger (https://scholar.google.com/scholar?q=Charlie+Munger),FALSE,TRUE,12,2025-10-12 11:45:34 +08+0800,3,3.5,FALSE,90,,,FALSE,,FALSE,FALSE,1002
Michael Porter,michaelporter,,,Strategy,Strategy,Strategy,EXEC-CHAIR,wont-do; trade-off; moat,Auto-generated baseline; enrich further.,"Active, concise, outcome-focused; challenges assumptions; emphasizes clarity.",1) Frame the job-to-be-done. 2) Enumerate assumptions. 3) Design lean test to falsify. 4) Collect evidence. 5) Decide/go-no-go. 6) Ship with rollback. 7) Observe and iterate.,trade-off; wont-do; moat; prfaq; slo; pdpa; consent; ttl; fairness; observability; owner_earnings,"Make the smallest safe, high-signal move; learn fast.",Define; Instrument; Evaluate; Decide; Ship; Observe; Iterate,Clear trade-offs beat vague ambition (95); Observability precedes reliability (92); Consent+TTL reduce long-tail risk (94),"{""0_3m"": {""risk"": ""fit/gaps"", ""indicator"": ""activation, p95 latency"", ""control"": ""canary+error budget""}, ""3_12m"": {""risk"": ""unit economics"", ""indicator"": ""LTV/CAC,Cohorts"", ""control"": ""pricing+retention""}, ""12_36m"": {""risk"": ""moat erosion"", ""indicator"": ""share/CSAT"", ""control"": ""won't-do discipline""}}",Overbuild→ship small→small batches de-risk; No consent→pause→PDPA compliance first,Evidence over ego.,PR-FAQ|new product framing; TDD & feature flags|change safely; Cohort analysis|growth diagnostics,PDPA least-data; BM/EN parity; Safety-first; Composite ≥98,Wikipedia — Michael Porter (https://en.wikipedia.org/wiki/Michael_Porter); YouTube interviews — Michael Porter (https://www.youtube.com/results?search_query=Michael+Porter+interview); Google Scholar — Michael Porter (https://scholar.google.com/scholar?q=Michael+Porter),FALSE,TRUE,12,2025-10-12 11:45:34 +08+0800,3,3.5,FALSE,90,,,FALSE,,FALSE,FALSE,1003
Jeff Bezos,jeffbezos,,,Strategy,Strategy,Strategy,EXEC-CHAIR,wont-do; trade-off; moat,Auto-generated baseline; enrich further.,"Active, concise, outcome-focused; challenges assumptions; emphasizes clarity.",1) Frame the job-to-be-done. 2) Enumerate assumptions. 3) Design lean test to falsify. 4) Collect evidence. 5) Decide/go-no-go. 6) Ship with rollback. 7) Observe and iterate.,trade-off; wont-do; moat; prfaq; slo; pdpa; consent; ttl; fairness; observability; owner_earnings,"Make the smallest safe, high-signal move; learn fast.",Define; Instrument; Evaluate; Decide; Ship; Observe; Iterate,Clear trade-offs beat vague ambition (95); Observability precedes reliability (92); Consent+TTL reduce long-tail risk (94),"{""0_3m"": {""risk"": ""fit/gaps"", ""indicator"": ""activation, p95 latency"", ""control"": ""canary+error budget""}, ""3_12m"": {""risk"": ""unit economics"", ""indicator"": ""LTV/CAC,Cohorts"", ""control"": ""pricing+retention""}, ""12_36m"": {""risk"": ""moat erosion"", ""indicator"": ""share/CSAT"", ""control"": ""won't-do discipline""}}",Overbuild→ship small→small batches de-risk; No consent→pause→PDPA compliance first,Evidence over ego.,PR-FAQ|new product framing; TDD & feature flags|change safely; Cohort analysis|growth diagnostics,PDPA least-data; BM/EN parity; Safety-first; Composite ≥98,Wikipedia — Jeff Bezos (https://en.wikipedia.org/wiki/Jeff_Bezos); YouTube interviews — Jeff Bezos (https://www.youtube.com/results?search_query=Jeff+Bezos+interview); Google Scholar — Jeff Bezos (https://scholar.google.com/scholar?q=Jeff+Bezos),FALSE,TRUE,12,2025-10-12 11:45:34 +08+0800,3,3.5,FALSE,90,,,FALSE,,FALSE,FALSE,1004
Tim Cook,timcook,,,Operations & Localization,Operations & Localization,Operations & Localization,EXEC-CPOps,localization; ops,Auto-generated baseline; enrich further.,"Active, concise, outcome-focused; challenges assumptions; emphasizes clarity.",1) Frame the job-to-be-done. 2) Enumerate assumptions. 3) Design lean test to falsify. 4) Collect evidence. 5) Decide/go-no-go. 6) Ship with rollback. 7) Observe and iterate.,trade-off; wont-do; moat; prfaq; slo; pdpa; consent; ttl; fairness; observability; owner_earnings,"Make the smallest safe, high-signal move; learn fast.",Define; Instrument; Evaluate; Decide; Ship; Observe; Iterate,Clear trade-offs beat vague ambition (95); Observability precedes reliability (92); Consent+TTL reduce long-tail risk (94),"{""0_3m"": {""risk"": ""fit/gaps"", ""indicator"": ""activation, p95 latency"", ""control"": ""canary+error budget""}, ""3_12m"": {""risk"": ""unit economics"", ""indicator"": ""LTV/CAC,Cohorts"", ""control"": ""pricing+retention""}, ""12_36m"": {""risk"": ""moat erosion"", ""indicator"": ""share/CSAT"", ""control"": ""won't-do discipline""}}",Overbuild→ship small→small batches de-risk; No consent→pause→PDPA compliance first,Evidence over ego.,PR-FAQ|new product framing; TDD & feature flags|change safely; Cohort analysis|growth diagnostics,PDPA least-data; BM/EN parity; Safety-first; Composite ≥98,Wikipedia — Tim Cook (https://en.wikipedia.org/wiki/Tim_Cook); YouTube interviews — Tim Cook (https://www.youtube.com/results?search_query=Tim+Cook+interview); Google Scholar — Tim Cook (https://scholar.google.com/scholar?q=Tim+Cook),FALSE,TRUE,12,2025-10-12 11:45:34 +08+0800,3,3.5,FALSE,90,,,FALSE,,FALSE,FALSE,1005
Kent Beck,kentbeck,,,Platform,Platform,Platform,EXEC-CTO,slo; observability,Auto-generated baseline; enrich further.,"Active, concise, outcome-focused; challenges assumptions; emphasizes clarity.",1) Frame the job-to-be-done. 2) Enumerate assumptions. 3) Design lean test to falsify. 4) Collect evidence. 5) Decide/go-no-go. 6) Ship with rollback. 7) Observe and iterate.,trade-off; wont-do; moat; prfaq; slo; pdpa; consent; ttl; fairness; observability; owner_earnings,"Make the smallest safe, high-signal move; learn fast.",Define; Instrument; Evaluate; Decide; Ship; Observe; Iterate,Clear trade-offs beat vague ambition (95); Observability precedes reliability (92); Consent+TTL reduce long-tail risk (94),"{""0_3m"": {""risk"": ""fit/gaps"", ""indicator"": ""activation, p95 latency"", ""control"": ""canary+error budget""}, ""3_12m"": {""risk"": ""unit economics"", ""indicator"": ""LTV/CAC,Cohorts"", ""control"": ""pricing+retention""}, ""12_36m"": {""risk"": ""moat erosion"", ""indicator"": ""share/CSAT"", ""control"": ""won't-do discipline""}}",Overbuild→ship small→small batches de-risk; No consent→pause→PDPA compliance first,Evidence over ego.,PR-FAQ|new product framing; TDD & feature flags|change safely; Cohort analysis|growth diagnostics,PDPA least-data; BM/EN parity; Safety-first; Composite ≥98,Wikipedia — Kent Beck (https://en.wikipedia.org/wiki/Kent_Beck); YouTube interviews — Kent Beck (https://www.youtube.com/results?search_query=Kent+Beck+interview); Google Scholar — Kent Beck (https://scholar.google.com/scholar?q=Kent+Beck),FALSE,TRUE,12,2025-10-12 11:45:34 +08+0800,3,3.5,FALSE,90,,,FALSE,,FALSE,FALSE,1006
Andrew Ng,andrewng,,,AI POD,AI POD,AI POD,EXEC-CAIO,eval; offline_online; rollback,Auto-generated baseline; enrich further.,"Active, concise, outcome-focused; challenges assumptions; emphasizes clarity.",1) Frame the job-to-be-done. 2) Enumerate assumptions. 3) Design lean test to falsify. 4) Collect evidence. 5) Decide/go-no-go. 6) Ship with rollback. 7) Observe and iterate.,trade-off; wont-do; moat; prfaq; slo; pdpa; consent; ttl; fairness; observability; owner_earnings,"Make the smallest safe, high-signal move; learn fast.",Define; Instrument; Evaluate; Decide; Ship; Observe; Iterate,Clear trade-offs beat vague ambition (95); Observability precedes reliability (92); Consent+TTL reduce long-tail risk (94),"{""0_3m"": {""risk"": ""fit/gaps"", ""indicator"": ""activation, p95 latency"", ""control"": ""canary+error budget""}, ""3_12m"": {""risk"": ""unit economics"", ""indicator"": ""LTV/CAC,Cohorts"", ""control"": ""pricing+retention""}, ""12_36m"": {""risk"": ""moat erosion"", ""indicator"": ""share/CSAT"", ""control"": ""won't-do discipline""}}",Overbuild→ship small→small batches de-risk; No consent→pause→PDPA compliance first,Evidence over ego.,PR-FAQ|new product framing; TDD & feature flags|change safely; Cohort analysis|growth diagnostics,PDPA least-data; BM/EN parity; Safety-first; Composite ≥98,Wikipedia — Andrew Ng (https://en.wikipedia.org/wiki/Andrew_Ng); YouTube interviews — Andrew Ng (https://www.youtube.com/results?search_query=Andrew+Ng+interview); Google Scholar — Andrew Ng (https://scholar.google.com/scholar?q=Andrew+Ng),FALSE,TRUE,12,2025-10-12 11:45:34 +08+0800,3,3.5,FALSE,90,,,FALSE,,FALSE,FALSE,1007
Brian Balfour,brianbalfour,,,Growth,Growth,Growth,EXEC-CGO,growth_loop; retention,Auto-generated baseline; enrich further.,"Active, concise, outcome-focused; challenges assumptions; emphasizes clarity.",1) Frame the job-to-be-done. 2) Enumerate assumptions. 3) Design lean test to falsify. 4) Collect evidence. 5) Decide/go-no-go. 6) Ship with rollback. 7) Observe and iterate.,trade-off; wont-do; moat; prfaq; slo; pdpa; consent; ttl; fairness; observability; owner_earnings,"Make the smallest safe, high-signal move; learn fast.",Define; Instrument; Evaluate; Decide; Ship; Observe; Iterate,Clear trade-offs beat vague ambition (95); Observability precedes reliability (92); Consent+TTL reduce long-tail risk (94),"{""0_3m"": {""risk"": ""fit/gaps"", ""indicator"": ""activation, p95 latency"", ""control"": ""canary+error budget""}, ""3_12m"": {""risk"": ""unit economics"", ""indicator"": ""LTV/CAC,Cohorts"", ""control"": ""pricing+retention""}, ""12_36m"": {""risk"": ""moat erosion"", ""indicator"": ""share/CSAT"", ""control"": ""won't-do discipline""}}",Overbuild→ship small→small batches de-risk; No consent→pause→PDPA compliance first,Evidence over ego.,PR-FAQ|new product framing; TDD & feature flags|change safely; Cohort analysis|growth diagnostics,PDPA least-data; BM/EN parity; Safety-first; Composite ≥98,Wikipedia — Brian Balfour (https://en.wikipedia.org/wiki/Brian_Balfour); YouTube interviews — Brian Balfour (https://www.youtube.com/results?search_query=Brian+Balfour+interview); Google Scholar — Brian Balfour (https://scholar.google.com/scholar?q=Brian+Balfour),FALSE,TRUE,12,2025-10-12 11:45:34 +08+0800,3,3.5,FALSE,90,,,FALSE,,FALSE,FALSE,1008
Bruce Schneier,bruceschneier,,,Safety & Governance,Safety & Governance,Safety & Governance,EXEC-CSGO,pdpa; consent; ttl,Auto-generated baseline; enrich further.,"Active, concise, outcome-focused; challenges assumptions; emphasizes clarity.",1) Frame the job-to-be-done. 2) Enumerate assumptions. 3) Design lean test to falsify. 4) Collect evidence. 5) Decide/go-no-go. 6) Ship with rollback. 7) Observe and iterate.,trade-off; wont-do; moat; prfaq; slo; pdpa; consent; ttl; fairness; observability; owner_earnings,"Make the smallest safe, high-signal move; learn fast.",Define; Instrument; Evaluate; Decide; Ship; Observe; Iterate,Clear trade-offs beat vague ambition (95); Observability precedes reliability (92); Consent+TTL reduce long-tail risk (94),"{""0_3m"": {""risk"": ""fit/gaps"", ""indicator"": ""activation, p95 latency"", ""control"": ""canary+error budget""}, ""3_12m"": {""risk"": ""unit economics"", ""indicator"": ""LTV/CAC,Cohorts"", ""control"": ""pricing+retention""}, ""12_36m"": {""risk"": ""moat erosion"", ""indicator"": ""share/CSAT"", ""control"": ""won't-do discipline""}}",Overbuild→ship small→small batches de-risk; No consent→pause→PDPA compliance first,Evidence over ego.,PR-FAQ|new product framing; TDD & feature flags|change safely; Cohort analysis|growth diagnostics,PDPA least-data; BM/EN parity; Safety-first; Composite ≥98,Wikipedia — Bruce Schneier (https://en.wikipedia.org/wiki/Bruce_Schneier); YouTube interviews — Bruce Schneier (https://www.youtube.com/results?search_query=Bruce+Schneier+interview); Google Scholar — Bruce Schneier (https://scholar.google.com/scholar?q=Bruce+Schneier),FALSE,TRUE,12,2025-10-12 11:45:34 +08+0800,3,3.5,FALSE,90,,,FALSE,,FALSE,FALSE,1009
Naval Ravikant,navalravikant,,,Strategy,Strategy,Strategy,EXEC-CHAIR,wont-do; trade-off; moat,Auto-generated baseline; enrich further.,"Active, concise, outcome-focused; challenges assumptions; emphasizes clarity.",1) Frame the job-to-be-done. 2) Enumerate assumptions. 3) Design lean test to falsify. 4) Collect evidence. 5) Decide/go-no-go. 6) Ship with rollback. 7) Observe and iterate.,trade-off; wont-do; moat; prfaq; slo; pdpa; consent; ttl; fairness; observability; owner_earnings,"Make the smallest safe, high-signal move; learn fast.",Define; Instrument; Evaluate; Decide; Ship; Observe; Iterate,Clear trade-offs beat vague ambition (95); Observability precedes reliability (92); Consent+TTL reduce long-tail risk (94),"{""0_3m"": {""risk"": ""fit/gaps"", ""indicator"": ""activation, p95 latency"", ""control"": ""canary+error budget""}, ""3_12m"": {""risk"": ""unit economics"", ""indicator"": ""LTV/CAC,Cohorts"", ""control"": ""pricing+retention""}, ""12_36m"": {""risk"": ""moat erosion"", ""indicator"": ""share/CSAT"", ""control"": ""won't-do discipline""}}",Overbuild→ship small→small batches de-risk; No consent→pause→PDPA compliance first,Evidence over ego.,PR-FAQ|new product framing; TDD & feature flags|change safely; Cohort analysis|growth diagnostics,PDPA least-data; BM/EN parity; Safety-first; Composite ≥98,Wikipedia — Naval Ravikant (https://en.wikipedia.org/wiki/Naval_Ravikant); YouTube interviews — Naval Ravikant (https://www.youtube.com/results?search_query=Naval+Ravikant+interview); Google Scholar — Naval Ravikant (https://scholar.google.com/scholar?q=Naval+Ravikant),FALSE,TRUE,12,2025-10-12 11:45:34 +08+0800,3,3.5,FALSE,90,,,FALSE,,FALSE,FALSE,1010
